gen,ind,lap,time_s,A,B,C
9,2,3,143.492,27.3631,2.7570,239.2827
9,2,4,149.066,27.3631,2.7570,239.2827
9,2,5,195.528,27.3631,2.7570,239.2827
9,3,1,149.772,24.3101,0.7309,125.1785
9,3,2,143.796,24.3101,0.7309,125.1785
9,3,3,143.772,24.3101,0.7309,125.1785
9,3,4,143.700,24.3101,0.7309,125.1785
9,3,5,143.684,24.3101,0.7309,125.1785
9,4,1,149.720,25.9936,3.1301,144.0120
9,4,2,143.678,25.9936,3.1301,144.0120
9,4,3,143.652,25.9936,3.1301,144.0120
9,4,4,143.558,25.9936,3.1301,144.0120
9,4,5,143.570,25.9936,3.1301,144.0120
9,5,1,149.368,26.8741,2.2202,213.6304
9,5,2,143.372,26.8741,2.2202,213.6304
9,5,3,143.398,26.8741,2.2202,213.6304
9,5,4,143.338,26.8741,2.2202,213.6304
9,5,5,143.440,26.8741,2.2202,213.6304
9,6,1,412.182,22.1732,2.7390,12.4098
9,6,2,360.326,22.1732,2.7390,12.4098
9,7,1,172.782,24.6291,2.0972,79.2198
9,7,2,168.116,24.6291,2.0972,79.2198
9,7,3,168.080,24.6291,2.0972,79.2198
9,7,4,168.134,24.6291,2.0972,79.2198
10,1,1,149.508,26.0516,2.7221,277.5120
10,1,2,143.538,26.0516,2.7221,277.5120
10,1,3,143.520,26.0516,2.7221,277.5120
10,1,4,143.602,26.0516,2.7221,277.5120
10,1,5,143.436,26.0516,2.7221,277.5120
10,2,1,149.296,27.3749,2.1426,257.2321
10,2,2,143.352,27.3749,2.1426,257.2321
10,2,3,143.238,27.3749,2.1426,257.2321
10,2,4,143.318,27.3749,2.1426,257.2321
10,2,5,143.320,27.3749,2.1426,257.2321
10,3,1,155.114,24.9448,2.0190,91.0873
10,3,2,169.054,24.9448,2.0190,91.0873
10,3,3,299.724,24.9448,2.0190,91.0873
10,4,1,149.246,25.7586,2.0406,144.3108
10,4,2,143.332,25.7586,2.0406,144.3108
10,4,3,143.316,25.7586,2.0406,144.3108
10,4,4,143.292,25.7586,2.0406,144.3108
10,4,5,143.200,25.7586,2.0406,144.3108
10,5,1,149.918,26.5020,4.1277,294.2124
10,5,2,143.880,26.5020,4.1277,294.2124
10,5,3,143.894,26.5020,4.1277,294.2124
10,5,4,143.932,26.5020,4.1277,294.2124
10,5,5,143.944,26.5020,4.1277,294.2124
10,6,1,149.678,27.3499,3.1385,142.2197
10,6,2,143.524,27.3499,3.1385,142.2197
10,6,3,143.498,27.3499,3.1385,142.2197
10,6,4,143.520,27.3499,3.1385,142.2197
10,6,5,143.668,27.3499,3.1385,142.2197
11,1,1,149.250,25.8073,1.8042,169.1563
11,1,2,143.178,25.8073,1.8042,169.1563
11,1,3,143.298,25.8073,1.8042,169.1563
11,1,4,143.258,25.8073,1.8042,169.1563
11,1,5,143.260,25.8073,1.8042,169.1563
11,2,1,149.762,27.1886,3.6405,333.2763
11,2,2,143.758,27.1886,3.6405,333.2763
11,2,3,143.726,27.1886,3.6405,333.2763
11,2,4,143.700,27.1886,3.6405,333.2763
11,2,5,143.680,27.1886,3.6405,333.2763
11,3,1,149.294,25.7948,1.9809,271.0574
11,3,2,143.348,25.7948,1.9809,271.0574
11,3,3,143.310,25.7948,1.9809,271.0574
11,3,4,143.280,25.7948,1.9809,271.0574
11,3,5,143.306,25.7948,1.9809,271.0574
11,4,1,149.378,27.1627,2.2853,244.6324
11,4,2,143.364,27.1627,2.2853,244.6324
11,4,3,143.394,27.1627,2.2853,244.6324
11,4,4,143.346,27.1627,2.2853,244.6324
11,5,1,149.554,26.5395,1.0949,173.7676
11,5,2,143.638,26.5395,1.0949,173.7676
11,5,3,143.618,26.5395,1.0949,173.7676
11,5,4,143.732,26.5395,1.0949,173.7676
11,5,5,143.638,26.5395,1.0949,173.7676
11,6,1,149.252,25.6801,2.0210,196.3150
11,6,2,143.362,25.6801,2.0210,196.3150
11,6,3,143.358,25.6801,2.0210,196.3150
11,6,4,143.210,25.6801,2.0210,196.3150
11,6,5,143.280,25.6801,2.0210,196.3150
11,7,1,149.348,26.2276,2.2766,198.2531
11,7,2,143.400,26.2276,2.2766,198.2531
11,7,3,143.392,26.2276,2.2766,198.2531
11,7,4,143.376,26.2276,2.2766,198.2531
12,1,1,149.368,26.4953,1.5475,195.1124
12,1,2,143.466,26.4953,1.5475,195.1124
12,1,3,143.448,26.4953,1.5475,195.1124
12,1,4,143.266,26.4953,1.5475,195.1124
12,1,5,157.040,26.4953,1.5475,195.1124
12,2,1,149.206,27.0581,1.7654,217.1145
12,2,2,143.282,27.0581,1.7654,217.1145
12,2,3,143.218,27.0581,1.7654,217.1145
12,2,4,143.252,27.0581,1.7654,217.1145
12,2,5,143.262,27.0581,1.7654,217.1145
12,3,1,149.296,26.7959,2.1198,218.4031
12,3,2,143.344,26.7959,2.1198,218.4031
12,3,3,143.352,26.7959,2.1198,218.4031
12,3,4,143.290,26.7959,2.1198,218.4031
12,3,5,143.330,26.7959,2.1198,218.4031
12,4,1,149.934,24.6855,0.7494,142.7555
12,4,2,143.790,24.6855,0.7494,142.7555
12,4,3,144.046,24.6855,0.7494,142.7555
12,4,4,143.680,24.6855,0.7494,142.7555
12,4,5,143.676,24.6855,0.7494,142.7555
12,5,1,149.234,24.8243,1.7942,198.6986
12,5,2,143.280,24.8243,1.7942,198.6986
12,5,3,143.234,24.8243,1.7942,198.6986
12,6,1,149.086,26.5665,1.7499,197.8300
12,6,2,143.156,26.5665,1.7499,197.8300
12,6,3,143.100,26.5665,1.7499,197.8300
12,6,4,143.294,26.5665,1.7499,197.8300
12,6,5,143.180,26.5665,1.7499,197.8300
12,7,1,149.140,25.7922,1.5027,243.4587
12,7,2,143.196,25.7922,1.5027,243.4587
12,7,3,143.282,25.7922,1.5027,243.4587
12,7,4,143.256,25.7922,1.5027,243.4587
12,7,5,143.270,25.7922,1.5027,243.4587
13,1,1,149.148,25.4953,1.5428,210.2948
13,1,2,143.234,25.4953,1.5428,210.2948
13,1,3,143.254,25.4953,1.5428,210.2948
13,1,4,143.112,25.4953,1.5428,210.2948
13,1,5,143.232,25.4953,1.5428,210.2948
13,2,1,149.164,25.9736,1.5946,227.9725
13,2,2,143.236,25.9736,1.5946,227.9725
13,2,3,143.254,25.9736,1.5946,227.9725
13,2,4,143.264,25.9736,1.5946,227.9725
13,2,5,155.428,25.9736,1.5946,227.9725
13,3,1,149.314,25.5361,2.1477,171.1993
13,3,2,143.378,25.5361,2.1477,171.1993
13,3,3,143.380,25.5361,2.1477,171.1993
13,3,4,143.338,25.5361,2.1477,171.1993
13,3,5,143.360,25.5361,2.1477,171.1993
13,4,1,149.552,26.8346,1.2532,237.5341
13,4,2,143.604,26.8346,1.2532,237.5341
13,4,3,143.578,26.8346,1.2532,237.5341
13,4,4,143.650,26.8346,1.2532,237.5341
13,4,5,143.512,26.8346,1.2532,237.5341
13,5,1,149.122,26.7001,1.9448,222.8383
13,5,2,143.214,26.7001,1.9448,222.8383
13,5,3,143.196,26.7001,1.9448,222.8383
13,5,4,143.276,26.7001,1.9448,222.8383
13,5,5,143.260,26.7001,1.9448,222.8383
13,6,1,149.246,26.9594,1.9611,191.6872
13,6,2,143.338,26.9594,1.9611,191.6872
13,6,3,143.198,26.9594,1.9611,191.6872
13,6,4,161.558,26.9594,1.9611,191.6872
13,7,1,149.470,26.1601,2.3452,277.5193
13,7,2,143.454,26.1601,2.3452,277.5193
13,7,3,150.612,26.1601,2.3452,277.5193
cma2_gen1,2,1,131.378,26.5183,1.6171,217.2286,1.4556,0.01326
cma2_gen1,2,2,128.102,26.5183,1.6171,217.2286,1.4556,0.01326
cma2_gen1,4,1,238.378,25.9753,1.2037,208.8767,1.4155,0.00122
cma2_gen1,4,2,226.540,25.9753,1.2037,208.8767,1.4155,0.00122
cma2_gen1,4,3,226.600,25.9753,1.2037,208.8767,1.4155,0.00122
cma2_gen2,4,1,141.752,26.4644,1.0992,209.5678,1.4319,0.00799
cma2_gen2,4,2,137.572,26.4644,1.0992,209.5678,1.4319,0.00799
cma2_gen2,4,3,137.092,26.4644,1.0992,209.5678,1.4319,0.00799
cma2_gen2,4,4,137.422,26.4644,1.0992,209.5678,1.4319,0.00799
